City,Longitude,Latitude,Temperature,Wind Speed,Humidity,Cloudiness
Palmer,-72.3287,42.1584,46.56,4.0,79,90
Panama City,-79.5197,8.9936,77.29,5.75,91,75
Timrå,17.3257,62.487,46.08,0.0,76,3
Norman Wells,-126.8329,65.282,37.44,10.36,81,90
Warrnambool,142.4833,-38.3833,38.8,6.17,90,0
Jumla,82.1838,29.2747,58.01,1.79,86,100
Ketchikan,-131.6461,55.3422,54.07,9.22,58,75
Sonāmukhi,87.4167,23.3,82.0,8.52,87,23
Zyryanka,150.85,65.75,52.36,23.04,47,0
Jieshi,115.8257,22.8134,82.27,15.12,87,100
Bengkulu,102.2655,-3.8004,75.52,2.95,85,98
Pelym,61.9978,61.0108,56.88,5.21,97,98
Abalak,68.5944,58.1286,59.76,7.58,68,18
Vadsø,29.7487,70.0744,40.08,8.01,85,99
Nome,-165.4064,64.5011,51.87,12.66,28,1
Nelson Bay,152.15,-32.7167,51.8,19.28,93,97
Sobolevo,31.8996,54.4299,48.97,9.98,94,91
Sulangan,123.7228,11.1373,83.82,5.32,74,93
Khor,134.9464,47.8861,51.94,4.0,83,100
Amapá,-52.0,1.0,75.78,3.22,97,24
Río Gallegos,-69.2181,-51.6226,37.45,11.5,60,75
Maniitsoq,-52.9,65.4167,40.42,19.35,71,2
Sørland,12.6934,67.667,44.33,7.65,76,100
Hakkâri Province,44.1667,37.5833,53.74,4.99,45,0
Sabang,95.3214,5.8933,82.04,20.65,78,99
Lufilufi,-171.5986,-13.8745,85.78,13.67,77,37
Achacachi,-68.6833,-16.05,50.54,7.96,60,85
Kavieng,150.7967,-2.5744,82.02,16.49,81,98
Caceres,-6.3748,39.522,76.28,8.99,40,29
Orlik,99.825,52.5178,30.99,2.08,78,50
Chui,-53.4616,-33.6971,50.05,13.71,60,37
Port Augusta,137.7667,-32.5,41.7,4.32,58,0
Reyes,-67.3833,-14.3167,89.56,6.91,58,40
Bubaque,-15.8333,11.2833,79.03,19.95,68,6
Puerto Maldonado,-69.1833,-12.6,89.53,1.81,48,54
Olafsvik,-23.7142,64.8945,44.49,30.18,90,100
Shache,77.2406,38.4167,77.85,3.42,22,96
Trenggalek,111.7167,-8.05,75.11,1.54,95,99
Airai,125.4092,-8.9266,54.99,2.08,90,53
Arraial do Cabo,-42.0278,-22.9661,80.46,8.05,74,0
Savannah Bight,-85.85,16.45,91.45,17.94,76,10
Tank,70.3793,32.2217,95.59,6.67,17,6
Pirovskoye,92.2658,57.6267,30.04,5.59,79,58
Ürümqi,87.6005,43.801,67.15,4.68,46,0
Luganville,167.1667,-15.5333,75.36,5.32,74,100
Grindavik,-22.4338,63.8424,46.74,35.52,81,90
Kommunisticheskiy,64.4819,61.6789,56.32,6.93,97,100
Oddur,43.8894,4.1213,73.6,10.83,71,65
Langsa,97.9683,4.4683,76.03,2.01,95,99
Laredo,-99.5075,27.5064,86.41,9.22,56,75
Berlevåg,29.0864,70.8578,40.41,13.44,87,99
Bulgan,103.5347,48.8125,41.63,2.71,92,100
Chapais,-74.8492,49.7834,55.18,4.61,25,2
Mezen',44.24,65.8522,33.04,12.28,89,100
Ambilobe,49.05,-13.2,70.34,3.6,89,0
Korem,39.5228,12.5058,59.47,0.16,41,22
Bilibino,166.4372,68.0546,49.05,2.53,48,93
Maceió,-35.7353,-9.6658,81.84,8.23,69,20
Broome,-75.833,42.2506,46.92,3.0,81,90
Longyearbyen,15.6401,78.2186,33.64,8.05,75,75
Shishou,112.419,29.7226,64.36,7.23,97,66
Vitim,112.5578,59.4511,43.5,5.95,72,100
Salta,-65.4117,-24.7859,60.55,4.0,55,20
Hobyo,48.5268,5.3505,78.84,21.23,81,87
Avarua,-159.775,-21.2078,77.05,5.75,65,20
Salekhard,66.6019,66.53,38.37,8.16,73,5
Margate,1.3862,51.3813,52.27,5.99,78,1
Collie,116.15,-33.3667,51.98,3.78,98,84
Khuzdar,66.6434,27.7384,81.01,6.42,12,0
Fairbanks,-147.7164,64.8378,47.64,8.05,44,90
San Felipe,-68.7425,10.3399,78.8,5.91,82,100
Hualmay,-77.6139,-11.0964,67.19,8.39,82,60
Lyngseidet,20.2189,69.5763,42.48,6.17,80,96
Zhezkazgan,67.7144,47.8043,69.33,6.26,50,37
Kumasi,-1.6244,6.6885,74.98,3.74,90,47
Ratnagiri,73.3,16.9833,82.36,2.06,79,100
Ust'-Ishim,71.1665,57.6935,59.65,6.6,71,7
Vryburg,24.7284,-26.9566,50.61,8.03,37,71
Kysyl-Syr,122.7617,63.8986,56.68,2.21,57,85
Port Hedland,118.5667,-20.3167,69.85,5.75,68,96
Kewanee,-89.9248,41.2456,63.03,10.89,45,0
Granadilla de Abona,-16.576,28.1188,62.06,10.36,67,20
Blagodarnyy,43.4364,45.0978,62.02,12.35,84,88
Puerto Baquerizo Moreno,-89.6,-0.9,76.19,16.11,78,40
Brae,-1.353,60.3964,44.51,1.97,87,3
Paramonga,-77.8333,-10.6667,66.56,7.54,85,86
Todos Santos,-110.2167,23.45,93.92,6.76,47,99
Bama,13.6856,11.5221,90.07,6.93,18,23
Mahina,-149.489,-17.5065,83.97,13.98,61,20
Klaksvík,-6.589,62.2266,47.32,12.33,80,6
Nueve de Julio,-60.8831,-35.4444,50.72,6.46,58,12
Batagay-Alyta,130.4114,67.8006,40.87,13.27,63,31
Tabou,-7.3528,4.423,80.64,8.48,84,84
Tura,90.2201,25.5198,72.81,4.25,91,36
Nuuk,-51.7216,64.1835,43.41,12.66,81,1
Burnie,145.9167,-41.0667,36.95,3.78,80,26
Geraldton,114.6,-28.7667,63.01,16.82,77,40
Nuevo Progreso,-97.95,23.1667,83.73,8.01,64,9
Tayshet,98.0044,55.9342,29.68,4.61,84,86
Inta,60.1659,66.0317,39.92,4.29,67,100
Mayo,-76.5119,38.8876,52.07,15.99,91,90
Lagoa,-27.9833,39.05,63.54,7.31,79,33
Pedasí,-80.0333,7.5333,69.44,2.1,88,100
Nālūt,10.85,30.3333,92.1,9.15,10,97
Nishihara,127.7558,26.1842,69.08,15.28,94,75
Mahon,4.2658,39.8885,64.96,3.44,88,0
Kuala Terengganu,103.1408,5.3302,76.95,3.44,94,20
Clarence Town,151.7833,-32.5833,51.55,4.59,74,92
Inhambane,35.3833,-23.865,66.38,6.64,87,0
Mount Gambier,140.7667,-37.8333,35.51,5.75,100,5
Dudinka,86.1778,69.4058,10.13,3.27,98,39
Kitgum,32.8867,3.2783,68.29,2.95,89,64
Tapes,-51.3958,-30.6733,59.86,10.36,70,7
Beroroha,45.1667,-21.6667,62.67,2.04,70,0
Gazojak,61.4036,41.1875,89.01,11.16,16,0
Hong Kong,114.1577,22.2855,84.65,1.01,89,96
Tamworth,-1.6959,52.634,59.4,6.15,93,3
Muriwai Beach,174.45,-36.8167,50.59,8.48,97,63
Mar del Plata,-57.5575,-38.0023,48.49,7.0,54,40
Healesville,145.5167,-37.65,35.17,1.86,99,4
Constitución,-72.4167,-35.3333,56.57,11.88,68,100
Avera,-82.5271,33.194,84.24,15.43,27,79
Maxixe,35.3472,-23.8597,65.03,5.84,88,0
Marfino,37.3822,55.7028,51.87,13.51,86,75
Arrondissement de Mende,3.5,44.6667,49.15,4.72,97,100
Alofi,-169.9187,-19.0595,76.89,4.61,94,75
Bonavista,-53.1147,48.6499,50.0,13.0,82,6
Grand Gaube,57.6608,-20.0064,74.37,3.0,89,19
Ruhengeri,29.635,-1.4998,58.19,1.66,96,75
Ubari,12.7805,26.5921,92.39,3.42,10,0
Ugoofaaru,73.0,5.6667,82.92,20.04,75,77
Pringsewu,104.9744,-5.3582,73.27,2.51,96,100
Chacaltianguis,-95.8333,18.3333,100.54,7.67,34,71
Aykhal,111.5,66.0,51.49,5.01,62,36
Gombong,109.5142,-7.6072,75.11,1.57,94,100
Isangel,169.2667,-19.55,72.91,1.68,55,100
College,-147.8028,64.8569,47.57,12.66,44,75
Coyhaique,-72.0662,-45.5752,44.55,3.44,61,75
Saint-Pierre,55.4781,-21.3393,67.96,3.44,67,0
Jönköping,14.1562,57.7814,53.31,0.0,71,9
Bathsheba,-59.5167,13.2167,86.61,15.21,54,40
Kano,8.5167,12.0001,80.49,2.3,74,0
Burē,37.0667,10.7,63.41,4.0,36,42
Lukovetskiy,41.9211,64.2956,35.58,4.45,91,32
Buraidah,43.975,26.326,95.45,8.75,11,8
Cidreira,-50.2056,-30.1811,61.2,11.01,72,1
Cochrane,-114.4687,51.1834,62.22,9.84,28,40
Noumea,166.4572,-22.2763,71.01,11.43,99,83
Smidovich,133.8167,48.6,50.95,12.57,82,100
Mount Isa,139.5,-20.7333,55.17,8.05,38,1
Kormilovka,74.1028,55.0026,60.55,9.33,51,1
Bobo-Dioulasso,-4.2979,11.1771,90.05,1.14,58,0
Saint Paul Harbor,-152.4072,57.79,45.91,9.22,93,90
Sitka,-135.33,57.0531,55.29,16.11,58,75
Bandarbeyla,50.8122,9.4942,79.63,25.14,83,79
Kahului,-156.47,20.8947,81.91,5.75,64,20
Mouzourás,24.15,35.5333,66.2,5.75,94,20
Dubbo,148.6167,-32.25,35.73,11.5,87,0
Simdega,84.5167,22.6167,80.15,4.5,73,15
Kruisfontein,24.7314,-34.0033,53.89,12.8,89,47
Drumnadrochit,-4.4799,57.3344,52.03,3.36,98,50
Bambanglipuro,110.2833,-7.95,60.6,3.89,89,100
Hervey Bay,152.8535,-25.2986,54.01,3.0,71,98
Chanthaburi,102.1667,12.8333,71.02,2.53,95,70
Sayyan,44.3244,15.1718,66.2,0.67,29,96
Waingapu,120.2641,-9.6567,74.19,4.59,86,77
Praia,-23.5087,14.9215,73.94,17.27,68,20
Sembakung,117.25,3.8167,74.08,2.53,99,70
Erie,-78.6664,42.7667,56.77,5.99,49,99
Aklavik,-135.0107,68.2191,33.8,9.22,69,90
Hīt,42.8251,33.6416,85.93,8.39,12,0
Salalah,54.0924,17.0151,84.29,6.91,89,75
Araouane,-3.5265,18.9048,100.02,3.47,16,86
Vikersund,9.995,59.9659,57.81,3.11,65,5
Beringovskiy,179.3167,63.05,32.9,10.54,81,7
Nadym,72.5167,65.5333,52.7,14.79,88,100
Morro Bay,-120.8499,35.3658,65.98,7.0,65,17
Price,-110.8107,39.5994,78.26,18.41,15,1
Sur,59.5289,22.5667,87.1,11.34,55,27
Peniche,-9.3811,39.3558,59.77,18.07,84,11
Mayumba,10.6554,-3.432,76.93,6.11,91,41
Quatre Cocos,57.7625,-20.2078,74.08,5.28,83,43
Yangi Marg`ilon,71.7189,40.4272,77.72,11.5,27,52
Dingle,122.6711,10.9995,77.45,1.68,91,95
Adrar,-10.0711,20.5022,96.66,9.82,10,100
Hamilton,-84.5333,39.1834,54.64,3.0,76,90
Nemuro,145.575,43.3236,45.45,11.43,98,96
Iqaluit,-68.5145,63.7506,29.93,21.85,74,90
Güira de Melena,-82.5053,22.7906,90.12,6.15,59,80
Honningsvåg,25.9704,70.9821,41.22,23.53,88,100
San Borja,-66.85,-14.8167,81.1,2.24,70,100
Katobu,122.5276,-4.9408,74.16,3.29,92,59
Escanaba,-87.0646,45.7453,58.84,13.8,47,1
Bitkine,18.2138,11.9801,92.37,3.56,16,7
Tezu,96.1667,27.9167,75.09,3.85,77,98
Tchibanga,11.0333,-2.85,72.07,2.06,98,44
Waipawa,175.5153,-41.4122,47.17,2.89,90,100
Udachny,112.4,66.4167,52.66,5.97,63,6
Muisne,-80.0333,0.6,84.31,9.35,80,71
Nānākuli,-158.1547,21.3906,81.3,4.65,57,1
Vardø,31.1107,70.3705,39.02,10.18,85,71
Altay,88.1167,47.8667,55.31,3.85,47,0
Ekhabi,142.9671,53.5102,35.78,14.16,93,100
Mananara,49.7667,-16.1667,69.15,4.29,90,35
Putina,-69.4333,-15.4667,49.82,9.69,53,97
Puerto Escondido,-97.0667,15.85,88.18,8.84,60,23
Ixtapa,-105.2,20.7,83.43,17.27,70,1
Poum,164.0167,-20.2333,70.66,18.92,64,81
Primo Tapia,-116.9172,32.22,66.0,10.67,63,28
Mumford,-0.759,5.2618,80.87,7.18,84,100
Honiara,159.95,-9.4333,77.58,1.81,89,98
Great Yarmouth,1.7305,52.6083,50.36,8.39,91,3
Viedma,-62.9967,-40.8135,48.76,18.05,42,12
Mersing,103.8405,2.4312,76.91,5.75,94,98
Natal,-35.2094,-5.795,80.82,12.19,74,75
Chara,118.2631,56.9064,48.63,1.57,72,70
Saint-Joseph,55.6167,-21.3667,66.88,5.19,80,8
Havelock,-76.9013,34.8791,79.93,11.99,77,75
Tiznit Province,-9.5,29.5833,79.92,7.83,36,100
Ndélé,20.6473,8.4109,84.11,2.15,40,88
Elliot Lake,-82.6331,46.3834,60.89,1.21,22,0
Kobryn,24.3564,52.2138,50.38,12.44,92,100
Valera,-70.6036,9.3178,78.04,1.32,89,100
Itaparica,-38.6786,-12.8883,80.53,7.81,72,100
Hastings,0.5729,50.8552,52.61,14.52,91,1
Bānka,86.9167,24.8833,83.44,7.67,73,21
Necochea,-58.7368,-38.5473,47.03,19.06,55,55
Homer,-151.5483,59.6425,47.97,0.0,88,90
Monywa,95.1333,22.1167,87.85,11.56,56,90
Kamaishi,141.8833,39.2667,58.8,5.26,76,20
Jijiga,42.8,9.35,62.89,7.36,79,6
Forsytheganj,29.7333,52.6333,52.27,8.77,94,100
Okhotsk,143.3,59.3833,36.28,9.26,90,99
Banda Aceh,95.3222,5.5577,78.03,15.28,88,100
Wamba,8.6,8.9333,76.24,4.27,78,100
Berea,-81.8543,41.3662,53.46,7.0,64,75
Vidim,103.1106,56.4088,32.32,2.57,81,100
Moreira Sales,-53.0069,-24.0622,76.68,5.46,46,100
Am Timan,20.2827,11.0297,92.55,5.32,24,10
Toora-Khem,96.11,52.4675,32.85,3.02,85,75
Vancouver,-123.1193,49.2497,63.91,5.99,63,20
Ende,121.6623,-8.8432,74.44,1.97,86,96
Maragogi,-35.2225,-9.0122,76.64,7.18,75,18
Sarangani,125.4636,5.4033,83.77,13.13,76,100
Tateyama,139.8667,34.9833,65.32,5.66,82,100
Tombouctou,-3.0,20.0,97.12,12.1,9,1
Mehamn,27.8492,71.0357,40.87,17.22,93,99
Sept-Îles,-66.3821,50.2001,50.13,1.99,64,20
Hiriyūr,76.6192,13.9456,76.08,14.83,73,48
Portland,-122.6762,45.5234,74.62,1.01,45,20
San Policarpo,125.5072,12.1791,78.87,4.14,89,82
Dicabisagan,122.4157,17.0818,79.48,3.87,83,74
Cranbrook,-115.7688,49.4999,62.44,3.69,29,20
Skibbereen,-9.2667,51.55,53.4,1.57,89,7
Santiago del Estero,-64.2615,-27.7951,66.33,6.8,34,0
Östersund,14.6357,63.1792,52.25,10.36,58,3
Thinadhoo,72.9333,0.5333,83.61,20.38,73,60
Bachaquero,-71.1494,9.9694,82.63,3.6,72,100
Kidal,1.4078,18.4411,94.87,9.69,6,99
Tuy Hoa,109.3,13.0833,78.76,5.84,85,89
Santo Estêvão,-39.2514,-12.4303,73.58,7.45,68,100
Port Blair,92.75,11.6667,80.94,5.44,84,100
Portobelo,-79.65,9.55,78.69,6.35,81,61
Sibolga,98.7792,1.7427,76.59,3.4,90,85
Cayenne,-52.3333,4.9333,81.09,8.48,86,90
Yuancheng,107.7896,36.652,65.82,3.11,36,37
Kamenka,42.7678,51.3223,60.58,5.59,94,70
Gloucester,-2.2431,51.8657,58.98,4.88,86,46
Vostok,135.8833,46.4856,44.13,2.53,86,100
Riberalta,-66.1,-10.9833,91.6,2.17,55,40
Iskateley,53.1512,67.6803,32.5,11.99,73,97
Curicó,-71.2333,-34.9833,51.91,9.22,82,75
Tosya,34.0401,41.0155,55.56,4.41,86,100
Myingyan,95.3833,21.4667,85.3,13.0,62,100
Taltal,-70.4833,-25.4,66.43,4.03,70,24
Yinchuan,106.2731,38.4681,70.54,7.47,25,83
Naze,129.4833,28.3667,65.23,3.56,90,100
Pangody,74.4859,65.85,52.99,18.32,90,100
Cap Malheureux,57.6142,-19.9842,74.46,3.0,89,14
Kumbhrāj,77.05,24.3667,91.98,4.76,33,100
Lompoc,-120.4579,34.6391,62.04,17.27,74,90
Caibarién,-79.4669,22.5206,74.52,14.07,67,4
Suixi,116.7747,33.8907,69.87,6.91,85,64
North Platte,-100.7654,41.1239,56.32,1.01,84,90
